id,name,approach,services,length,planning_time,execution_time,total_time,messages_size,input_size
doa_1,request_2_2,doa,10,1,0,43,43,531,275
doa_2,request_1_1,doa,10,1,0,49,49,531,276
doa_3,request_8_8,doa,10,1,0,51,51,531,275
doa_4,request_6_6,doa,10,1,0,48,48,531,275
doa_5,request_9_9,doa,10,1,0,64,64,531,275
doa_6,request_8_9,doa,10,2,0,99,99,891,275
doa_7,request_4_5,doa,10,2,0,105,105,891,275
doa_8,request_10_1,doa,10,2,0,91,91,891,276
doa_9,request_1_2,doa,10,2,0,81,81,891,276
doa_10,request_2_3,doa,10,2,0,80,80,892,275
doa_11,request_9_1,doa,10,3,0,152,152,1252,275
doa_12,request_3_5,doa,10,3,0,161,161,1252,275
doa_13,request_7_9,doa,10,3,0,150,150,1252,275
doa_14,request_4_6,doa,10,3,0,128,128,1252,275
doa_15,request_6_8,doa,10,3,0,141,141,1252,275
doa_16,request_7_10,doa,10,4,0,182,182,1613,277
doa_17,request_6_9,doa,10,4,0,158,158,1612,275
doa_18,request_2_5,doa,10,4,0,209,209,1612,275
doa_19,request_8_1,doa,10,4,0,175,175,1612,275
doa_20,request_5_8,doa,10,4,0,165,165,1612,275
doa_21,request_4_8,doa,10,5,0,207,207,1972,275
doa_22,request_2_6,doa,10,5,0,209,209,1972,275
doa_23,request_10_4,doa,10,5,0,251,251,1972,276
doa_24,request_3_7,doa,10,5,0,210,210,1972,275
doa_25,request_9_3,doa,10,5,0,197,197,1972,275
conversation_26,request_2_2,conversation,10,1,8,50,58,587,309
conversation_27,request_1_1,conversation,10,1,7,27,34,588,310
conversation_28,request_8_8,conversation,10,1,8,29,37,587,309
conversation_29,request_6_6,conversation,10,1,8,29,37,587,309
conversation_30,request_9_9,conversation,10,1,7,31,38,587,309
conversation_31,request_8_9,conversation,10,2,15,57,72,1214,535
conversation_32,request_4_5,conversation,10,2,14,65,79,1214,535
conversation_33,request_10_1,conversation,10,2,15,53,68,1217,538
conversation_34,request_1_2,conversation,10,2,14,50,64,1215,536
conversation_35,request_2_3,conversation,10,2,13,56,69,1214,535
conversation_36,request_9_1,conversation,10,3,19,87,106,1844,763
conversation_37,request_3_5,conversation,10,3,20,89,109,1841,761
conversation_38,request_7_9,conversation,10,3,18,90,108,1841,761
conversation_39,request_4_6,conversation,10,3,19,89,108,1841,761
conversation_40,request_6_8,conversation,10,3,21,85,106,1841,761
conversation_41,request_7_10,conversation,10,4,26,125,151,2469,989
conversation_42,request_6_9,conversation,10,4,28,123,151,2468,987
conversation_43,request_2_5,conversation,10,4,25,114,139,2468,987
conversation_44,request_8_1,conversation,10,4,24,117,141,2471,989
conversation_45,request_5_8,conversation,10,4,26,116,142,2468,987
conversation_46,request_4_8,conversation,10,5,31,153,184,3095,1213
conversation_47,request_2_6,conversation,10,5,32,146,178,3095,1213
conversation_48,request_10_4,conversation,10,5,33,146,179,3098,1216
conversation_49,request_3_7,conversation,10,5,33,146,179,3095,1213
conversation_50,request_9_3,conversation,10,5,32,137,169,3098,1215
planning_51,request_2_2,planning,10,1,8,23,31,587,275
planning_52,request_1_1,planning,10,1,8,30,38,588,276
planning_53,request_8_8,planning,10,1,7,32,39,587,275
planning_54,request_6_6,planning,10,1,8,40,48,587,275
planning_55,request_9_9,planning,10,1,8,29,37,587,275
planning_56,request_8_9,planning,10,2,14,60,74,1214,275
planning_57,request_4_5,planning,10,2,14,61,75,1214,275
planning_58,request_10_1,planning,10,2,13,57,70,1217,276
planning_59,request_1_2,planning,10,2,13,53,66,1215,276
planning_60,request_2_3,planning,10,2,14,50,64,1214,275
planning_61,request_9_1,planning,10,3,21,87,108,1844,275
planning_62,request_3_5,planning,10,3,20,100,120,1841,275
planning_63,request_7_9,planning,10,3,19,93,112,1841,275
planning_64,request_4_6,planning,10,3,19,94,113,1841,275
planning_65,request_6_8,planning,10,3,20,92,112,1841,275
planning_66,request_7_10,planning,10,4,26,124,150,2469,277
planning_67,request_6_9,planning,10,4,25,121,146,2468,275
planning_68,request_2_5,planning,10,4,25,138,163,2468,275
planning_69,request_8_1,planning,10,4,25,168,193,2471,275
planning_70,request_5_8,planning,10,4,27,123,150,2468,275
planning_71,request_4_8,planning,10,5,31,155,186,3095,275
planning_72,request_2_6,planning,10,5,31,149,180,3095,275
planning_73,request_10_4,planning,10,5,30,156,186,3098,276
planning_74,request_3_7,planning,10,5,31,151,182,3095,275
planning_75,request_9_3,planning,10,5,29,144,173,3098,275
